"language","license","rightsHolder","datasetID","datasetName","taxonID","scientificNameID","scientificName","kingdom","family","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:509ddbbaa5ecbb8d91899905cfc9491c","http://ipni.org/urn:lsid:ipni.org:names:44892-1","Acanthus mollis L.","Plantae","Acanthaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:a65145fd1f24f081a1931f9874af48d9","http://ipni.org/urn:lsid:ipni.org:names:44920-1","Acanthus spinosus L.","Plantae","Acanthaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:574eaf931730ba162e0226a425247660","http://ipni.org/urn:lsid:ipni.org:names:84009-1","Acorus calamus L.","Plantae","Acoraceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:5c33253debbe5777c0499b5c4d76b6e4","http://ipni.org/urn:lsid:ipni.org:names:913605-1","Actinidia deliciosa (Chevalier) C.S. Liang & A.R. Ferguson","Plantae","Actinidiaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:03206f4a769c6649658ab96839e8a016","http://ipni.org/urn:lsid:ipni.org:names:321978-2","Sambucus canadensis L.","Plantae","Adoxaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:12212e50c4f6c9b79616e9d7f95a1cfb","http://ipni.org/urn:lsid:ipni.org:names:149642-1","Viburnum davidii Franch.","Plantae","Adoxaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:dccf667eaeb9c94245327f2b61118763","http://ipni.org/urn:lsid:ipni.org:names:149902-1:1.1.2.1.1.3.1.3","Viburnum rhytidophyllum Hemsl.","Plantae","Adoxaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:0621267779268b9541e17478b03b99ee","http://ipni.org/urn:lsid:ipni.org:names:69627-3:1.1","Viburnum tinus L.","Plantae","Adoxaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:2b4f0fad8a1eb1280d0cb458a1cb89f7","http://ipni.org/urn:lsid:ipni.org:names:149901-1:1.4","Viburnum x rhytidophylloides Suringar","Plantae","Adoxaceae","hybrid","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:a548ae761b0e75f944a1ee321daeda85",,"Delosperma cooperi (Hook.f.) L. Bolus","Plantae","Aizoaceae","species","ICN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","Botanic Garden Meise","https://doi.org/10.15468/wtda1m","Manual of the Alien Plants of Belgium","alien-plants-belgium:taxon:f3675f66099ddf2b34ccd156ea83a786","http://ipni.org/urn:lsid:ipni.org:names:362741-1:1.4","Mesembryanthemum cordifolium L.f.","Plantae","Aizoaceae","species","ICN"
