"taxonID","description","type","language"
"alien-plants-belgium:taxon:211a9c12dcd730587931724afe9a66fe","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:212753dfd183b3bbf6683ab8fc899f70","vagrant","origin","en"
"alien-plants-belgium:taxon:212753dfd183b3bbf6683ab8fc899f70","Africa (WGSRPD:2)","native range","en"
"alien-plants-belgium:taxon:212753dfd183b3bbf6683ab8fc899f70","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:2145cd555fcae68934a2526817aabc46","vagrant","origin","en"
"alien-plants-belgium:taxon:2145cd555fcae68934a2526817aabc46","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:2145cd555fcae68934a2526817aabc46","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:2151cc09f42feb1676ff7bcbfee9d2a6","vagrant","origin","en"
"alien-plants-belgium:taxon:2151cc09f42feb1676ff7bcbfee9d2a6","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:2151cc09f42feb1676ff7bcbfee9d2a6","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:217868b026a9e3f07c59e0b7e89c5f2e","vagrant","origin","en"
"alien-plants-belgium:taxon:217868b026a9e3f07c59e0b7e89c5f2e","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:217868b026a9e3f07c59e0b7e89c5f2e","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:217868b026a9e3f07c59e0b7e89c5f2e","cbd_2014_pathway:contaminant_on_animals","pathway","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","introduced","origin","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:21abf5e15c84e35315735b0e2bbb5dbc","cbd_2014_pathway:contaminant_habitat_material","pathway","en"
"alien-plants-belgium:taxon:21adfb0ee90726a3c2f70c591cbecefd","introduced","origin","en"
"alien-plants-belgium:taxon:21adfb0ee90726a3c2f70c591cbecefd","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:21adfb0ee90726a3c2f70c591cbecefd","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:21b10a9366130aeb4d22102ad6256e5d","introduced","origin","en"
"alien-plants-belgium:taxon:21b10a9366130aeb4d22102ad6256e5d","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:21b10a9366130aeb4d22102ad6256e5d","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:21c32e2b54aa39fbc8bf0b710c4f1305","vagrant","origin","en"
"alien-plants-belgium:taxon:21c32e2b54aa39fbc8bf0b710c4f1305","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:21c32e2b54aa39fbc8bf0b710c4f1305","cbd_2014_pathway:escape_horticulture","pathway","en"
"alien-plants-belgium:taxon:21c741f505c84fa7a8a630695c048372","introduced","origin","en"
"alien-plants-belgium:taxon:21c741f505c84fa7a8a630695c048372","Europe (WGSRPD:1)","native range","en"
"alien-plants-belgium:taxon:21c741f505c84fa7a8a630695c048372","temperate Asia (WGSRPD:3)","native range","en"
"alien-plants-belgium:taxon:21c741f505c84fa7a8a630695c048372","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:220bd4c1d89091e04ac85df953f18b98","vagrant","origin","en"
"alien-plants-belgium:taxon:220bd4c1d89091e04ac85df953f18b98","Asia","native range","en"
"alien-plants-belgium:taxon:220bd4c1d89091e04ac85df953f18b98","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:221155a889e5ad870b568a5bf77a96db","vagrant","origin","en"
"alien-plants-belgium:taxon:221155a889e5ad870b568a5bf77a96db","Northern America (WGSRPD:7)","native range","en"
"alien-plants-belgium:taxon:221155a889e5ad870b568a5bf77a96db","cbd_2014_pathway:contaminant_seed","pathway","en"
"alien-plants-belgium:taxon:2218f8b07d825a41e1c533e8507e25f2","introduced","origin","en"
