"id","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate"
76,"ISO_3166-2:BE","Belgium","BE","present","","1861"
77,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1835/2017"
78,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1910/2015"
79,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1859/1913"
80,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1891/2017"
81,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1850/1980"
82,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1900/1994"
83,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material | contaminant:on_animals","1858/2017"
84,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1882/1970"
85,"ISO_3166-2:BE","Belgium","BE","present","","1954"
86,"ISO_3166-2:BE","Belgium","BE","presence uncertain","",""
87,"ISO_3166-2:BE","Belgium","BE","presence uncertain","",""
88,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1911"
89,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1918/2017"
90,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947/1962"
91,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1952"
92,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1947/2005"
93,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1874/1983"
94,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2003"
95,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1857/2015"
96,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","1893/1953"
97,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1954/2016"
98,"ISO_3166-2:BE","Belgium","BE","present","escape:agriculture","1991/2016"
99,"ISO_3166-2:BE","Belgium","BE","present","","1862/1967"
100,"ISO_3166-2:BE","Belgium","BE","present","","1971"
101,"ISO_3166-2:BE","Belgium","BE","present","","1952"
102,"ISO_3166-2:BE","Belgium","BE","presence uncertain","",""
103,"ISO_3166-2:BE","Belgium","BE","present","","2015"
104,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed","2009"
105,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material","1917/2017"
106,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals | contaminant:seed","1850/2017"
107,"ISO_3166-2:BE","Belgium","BE","present","","2016"
108,"ISO_3166-2:BE","Belgium","BE","present","contaminant:habitat_material | contaminant:on_animals","1829/2015"
109,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1940/1995"
110,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1899/1972"
111,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1904/1924"
112,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1882/1948"
113,"ISO_3166-2:BE","Belgium","BE","present","contaminant:on_animals","1947"
114,"ISO_3166-2:BE","Belgium","BE","present","contaminant:seed | contaminant:on_animals","1887/2017"
